"image","xmin","ymin","xmax","ymax","label"
"1%20(2).jpg",94.7324414715719,9.952732412060302,187.01226309921964,178.23916457286433,"Standing"
"10%20(3).jpg",41.33769132653062,13.470588235294118,144.22884778911566,208.04575163398692,"Standing"
"10%20(2).jpg",71.3395225464191,84.58496732026144,122.69230769230771,239.73529411764707,"Standing"
"1.jpg",39.49945688502674,14.183006535947712,123.17057987967914,251.1764705882353,"Standing"
"0e666dcfce4b10d4843ddd03abbbc410.jpg",193.36647727272728,7.26797385620915,347.9119318181818,551.4575163398692,"Standing"
"10.jpg",60.763475122850124,19.77124183006536,135.40229576167076,248.48856209150327,"Standing"
"100%20(2).jpg",50.87158323095823,26.062091503267975,122.36298372235873,230.9640522875817,"Walking"
"101.jpg",254.4835182767624,183.97058823529412,658.8177219321149,1169.68954248366,"Walking"
"10-107799_people-standing-talking-png-cut-out-people-drinking.png",323.61204013377926,25.076269363166954,480.84726867335564,500.32583907056795,"Standing"
"100.jpg",341.2603900255754,94.81372549019608,815.0455562659846,918.1960784313726,"Walking"
"11%20(2).jpg",77.52140718562875,29.176470588235293,132.1178143712575,157.1764705882353,"Standing"
"11.jpg",20.859829695767196,26.07843137254902,154.95771329365078,246.60130718954247,"Standing"
"11%20(3).jpg",62.541806020066886,9.646199748743719,210.00557413600893,170.88238065326632,"Standing"
"12%20(2).jpg",39.846833881578945,29.33823529411765,133.00472861842104,256.59313725490193,"Standing"
"102.jpg",615.3846153846154,185.732493729097,906.1315496098105,1040.40306229097,"Walking"
"13%20(2).jpg",26.59148495085995,35.947712418300654,145.29418765356266,266.01307189542484,"Standing"
"12%20(3).jpg",31.773097826086957,79.10457516339869,160.46875,261.65359477124184,"Standing"
"13%20(3).jpg",32.84044395465995,23.25,144.54069584382873,268.05882352941177,"Standing"
"12833864-6970081-Walking_tour_The_32_year_old_actor_kept_his_look_casual_as_he_wa-a-11_1556492931638.jpg",94.10129486133769,79.64215686274511,286.47323613376835,628.8627450980392,"Walking"
"12833864-6970081-Walking_tour_The_32_year_old_actor_kept_his_look_casual_as_he_wa-a-11_1556492931638.jpg",402.3101039967374,16.54901960784314,616.4014579934748,579.2156862745098,"Walking"
"12833864-6970081-Walking_tour_The_32_year_old_actor_kept_his_look_casual_as_he_wa-a-11_1556492931638.jpg",32.04582993474715,18.617647058823533,265.7880811582382,579.2156862745098,"Walking"
"12.jpg",164.88671875,91.33986928104575,781.13671875,1274.5098039215686,"Standing"
"13.jpg",19.486813822751323,27.45098039215686,154.95771329365078,238.8235294117647,"Standing"
"14%20(3).jpg",48.62342598280098,92.11601307189542,166.4268657862408,220.1797385620915,"Standing"
"134fb65202f973e24c10dd35f5cd576d.jpg",150.51150895140665,36.01960784313725,482.78772378516624,983.9901960784314,"Walking"
"14%20(2).jpg",55.683675986842104,116.88725490196079,131.1415707236842,247.2794117647059,"Walking"
"14.jpg",30.638167997542997,15.277777777777779,165.07797143734643,266.01307189542484,"Standing"
"16%20(2).jpg",77,13,145.66666666666666,165.33333333333331,"Walking"
"15%20(3).jpg",22.884615384615383,11.607843137254902,154.62250712250713,266.4967320261438,"Standing"
"15.jpg",48.32355182926828,43.66666666666667,123.2126870842572,253.00980392156862,"Standing"
"16%20(3).jpg",36.58088235294118,20.955882352941178,189.1544117647059,219.48529411764707,"Standing"
"15%20(2).jpg",376.81159420289856,35.86658653846154,872.9096989966556,583.5204326923077,"Standing"
"17%20(2).jpg",116.38795986622073,2.299314591078067,214.99442586399107,173.99999999999997,"Standing"
"16.jpg",38.98308367768595,11.450980392156863,130.96379993112947,282.93464052287584,"Standing"
"17%20(3).jpg",40.20999430523918,24.68137254901961,165.7225227790433,241.61764705882354,"Standing"
"17.jpg",42.77821713759214,58.415032679738566,116.51777487714988,251.6339869281046,"Standing"
"17A___responsive_367_458.jpg",97.33569785276073,51.63725490196079,253.7651457055215,424.3235294117647,"Standing"
"18%20(2).jpg",111.60331418161435,20.058823529411764,200.92394198430492,174.45098039215685,"Standing"
"18.jpg",28.53924418604651,9.771241830065359,133.05087209302326,289.7173202614379,"Standing"
"19%20(2).jpg",50.83835005574136,29.297599546370964,118.84726867335563,144.78348664314515,"Walking"
"19%20(2).jpg",101.67670011148272,15.493164062499998,166.31884057971013,145.79356728830643,"Walking"
"18%20(3).jpg",58.30805619266055,7.065359477124184,145.28512041284404,159.4313725490196,"Standing"
"18650501-full-length-portrait-of-a-businesswoman-with-clipboard-holding-a-suitcase-isolated-against-white-bac.jpg",251.1904105392157,95.58823529411765,711.7835477941177,1151.3071895424837,"Standing"
"19.jpg",59.54496788008565,8.398692810457517,135.93040685224838,251.12091503267973,"Standing"
"19%20(3).jpg",67.14046822742475,26.812028894472363,185.17279821627648,166.89745603015075,"Standing"
"2%20(2).jpg",59.00735294117648,18.75,167.09558823529414,207.3529411764706,"Standing"
"2.jpg",53.11974047911548,12.132352941176471,136.75119011056512,254.77941176470588,"Standing"
"191021-Blackpink-Jisoo-Instagram-2-683x1024.jpg",223.66471354166669,309.54248366013076,466.3975566789216,1024,"Standing"
"20.jpg",2.058823529411765,4.11764705882353,132.64705882352942,355.88235294117646,"Standing"
"20%20(3).jpg",96.87848383500557,47.96278266331658,189.4648829431438,162.91253140703517,"Standing"
"20%20(2).jpg",132.44147157190636,26.198963567839197,200.8082497212932,173.02810929648243,"Standing"
"21%20(3).jpg",27.270518092105263,55.41666666666667,137.66262335526318,230.98039215686276,"Standing"
"21%20(2).jpg",86.55716463414635,13.279411764705882,185.7278963414634,166.14705882352942,"Walking"
"22%20(2).jpg",90.6998502994012,30.431372549019606,171.33937125748503,161.88235294117646,"Walking"
"21.jpg",27.32142857142857,31.6797385620915,169.60714285714283,262,"Standing"
"23%20(2).jpg",57.16642352579853,66.05392156862746,118.76593212530713,237.25490196078434,"Walking"
"22%20(3).jpg",118.9520624303233,100.07333542713567,160.64659977703457,161.07333542713567,"Standing"
"22.jpg",63.79713487525988,38.44607843137255,136.1983822765073,231.08986928104574,"Standing"
"23.jpg",35.58555194805195,12.48529411764706,156.71801948051947,268.202614379085,"Standing"
"24%20(2).jpg",107.07692307692308,43.88597972972973,172.92307692307693,142.26435810810813,"Walking"
"24.jpg",112.04013377926421,4.073456175298804,184.6153846153846,168,"Standing"
"23%20(3).jpg",91.36008918617614,29.570822864321606,180.57413600891863,172.41504396984922,"Standing"
"24%20(3).jpg",64.66666666666666,36.33333333333333,166.66666666666666,148,"Standing"
"25%20(2).jpg",38.18283166109253,10.75498338870432,121.87959866220734,180.08388704318938,"Walking"
"26%20(2).jpg",106.84344400244798,15.532679738562091,207.65372552019585,181.95424836601305,"Walking"
"25.jpg",62.56200092137592,39.54248366013072,151.58902794840296,261.07026143790847,"Standing"
"26%20(3).jpg",25.242590601965603,21.119281045751634,138.5497159090909,275,"Standing"
"25%20(3).jpg",111,25.666666666666664,192,162.33333333333331,"Standing"
"27.jpg",15.172952586206895,10.866013071895425,116.40743534482758,258.61111111111114,"Standing"
"26.jpg",43.63526785714286,22.583333333333332,143.72098214285714,262.14379084967317,"Standing"
"27%20(2).jpg",103.0392824357405,29.163398692810457,170.24613678090574,165.47058823529412,"Standing"
"27%20(3).jpg",91.66666666666667,33.86228015075377,204.18060200668896,135.6311243718593,"Standing"
"28%20(2).jpg",98.60109394124846,45.330065359477125,148.6892212362301,182.27124183006535,"Standing"
"28.jpg",28.06745182012848,31.075163398692812,156.9154175588865,234.3235294117647,"Standing"
"29%20(2).jpg",156.48556425644028,9.934640522875817,223.51132538056208,162.36928104575162,"Walking"
"29%20(3).jpg",33.273863636363636,24.045751633986928,145.15957792207791,264.5032679738562,"Standing"
"29.jpg",70.70390911872705,9.826797385620914,159.46767900856793,194,"Standing"
"28%20(3).jpg",84.92196209587514,46.43011934673367,216.44370122630994,182.2240891959799,"Standing"
"3%20(2).jpg",43.348958333333336,8.509803921568627,172.60444735528944,227.73856209150327,"Standing"
"30%20(3).jpg",36.46145610278373,5.879084967320262,150.2002141327623,236.4232026143791,"Standing"
"3.jpg",19.847013206388205,17.973856209150327,153.8371851965602,248.937908496732,"Walking"
"30.jpg",104.00891861761427,13.661757172131148,167.68784838350055,178.34208504098362,"Walking"
"30%20(2).jpg",29.28927364864865,38.19444444444444,140.79787315724815,266.4624183006536,"Standing"
"31%20(2).jpg",104.22742474916387,1.85913140311804,186.12040133779263,158.0261692650334,"Standing"
"31.jpg",52.896866732804234,9.15032679738562,164.5688244047619,257.58169934640523,"Walking"
"31%20(3).jpg",86.45484949832776,51.02810929648241,154.51505016722408,161.07333542713567,"Standing"
"300.jpg",94.48529411764707,187.5,212.86764705882354,422.79411764705884,"Standing"
"316.jpg",1044.6044226044226,584.156862745098,2095.2972972972975,4179.503267973856,"Standing"
"32%20(2).jpg",108.69565217391305,0.0575199203187251,225.0836120401338,165.38022908366534,"Standing"
"318420505.jpg",128.6292109929078,390.0326797385621,509.83488475177296,964.4444444444443,"Standing"
"32.jpg",56.43382352941177,5.147058823529412,170.03676470588238,223.89705882352945,"Walking"
"33%20(2).jpg",271.7391304347826,33.44481605351171,469.0635451505017,491.6387959866221,"Standing"
"32%20(3).jpg",97.1850613154961,52.867305276381906,167.3913043478261,179.77182788944722,"Standing"
"33.jpg",54.92052165354331,9.281045751633988,141.32997047244095,264.9738562091503,"Walking"
"33%20(3).jpg",111.89583333333333,23.96732026143791,201.75142900120335,159.25653594771242,"Standing"
"34.jpg",48.43322892938497,17.75326797385621,139.32161161731207,239.8856209150327,"Walking"
"34%20(2).jpg",19.397381756756758,50.326797385620914,136.30155866093367,252.98202614379088,"Walking"
"34%20(3).jpg",128.66666666666666,10.333333333333332,199.66666666666666,168,"Standing"
"35.jpg",2.8449457908163267,2.5947712418300655,126.60514987244898,394.40522875817,"Walking"
"36%20(2).jpg",76.95020730958231,80.88235294117648,130.00671836609337,249.38725490196077,"Standing"
"35%20(3).jpg",21.68104440789474,38.18627450980392,166.54157072368423,243.08823529411765,"Standing"
"36%20(3).jpg",34.1909115720524,39.3578431372549,157.02933951965065,242.91830065359477,"Standing"
"35%20(2).jpg",344.2586399108138,199.49898097826087,484.2809364548495,506.9989809782609,"Standing"
